WALKING WALKING_UPSTAIRS WALKING_DOWNSTAIRS SITTING STANDING LAYING variable
-0.1067564 -0.1122797 -0.09283302 -0.1004015 -0.1038177 -0.08683333 3
-0.1076218 -0.1169525 -0.1105261 -0.1136613 -0.1059108 -0.1185302 3
-0.108804 -0.1240745 -0.1198737 -0.0891404 -0.1036577 -0.1073105 3
-0.1097921 -0.1212904 -0.08924327 -0.1136241 -0.1114321 -0.1070063 3
-0.1042183 -0.1126559 -0.1033908 -0.1119048 -0.1084534 -0.1076989 3
-0.1227367 -0.1510546 -0.1336952 -0.1087077 -0.1090419 -0.1089815 3
-0.1135395 -0.1210239 -0.1046029 -0.1083696 -0.1004028 -0.1042743 3
-0.1043193 -0.1254143 -0.09816866 -0.1120579 -0.1104179 -0.1032538 3
-0.1071125 -0.1175509 -0.1074158 -0.1058274 -0.1049674 -0.1108009 3
-0.113383 -0.1268906 -0.09881237 -0.1038087 -0.110597 -0.1042568 3
-0.110596 -0.1142486 -0.1048188 -0.1030411 -0.1082226 -0.1072362 3
-0.1087376 -0.1262104 -0.1071924 -0.1091604 -0.107353 -0.1004288 3
-0.108927 -0.1219435 -0.1064396 -0.09744487 -0.1102378 -0.1050025 3
-0.1128223 -0.1235304 -0.1128377 -0.1055219 -0.1078358 -0.1076997 3
-0.1037147 -0.121514 -0.108589 -0.1115179 -0.1065794 -0.1083449 3
-0.1066324 -0.1180006 -0.098134 -0.1104118 -0.1086591 -0.1094621 3
-0.09862471 -0.1246975 -0.09997814 -0.09951545 -0.1087562 -0.1036582 3
-0.2837403 -0.354708 0.03003534 -0.977229 -0.9957599 -0.9280565 4
-0.4236428 -0.3043764 0.04636668 -0.9868223 -0.9872719 -0.9740595 4
-0.3603567 -0.3131234 -0.05741005 -0.9710101 -0.9667425 -0.9827766 4
-0.44083 -0.204933 0.01119355 -0.9803099 -0.9769206 -0.9541937 4
-0.2940985 -0.04572378 0.2750461 -0.980945 -0.9685918 -0.9659345 4
-0.2965387 -0.05013502 0.3836816 -0.9801649 -0.9817582 -0.9340494 4
-0.3272432 -0.294873 0.06608156 -0.9726684 -0.9793076 -0.9365136 4
-0.1736057 -0.1717122 0.02413935 -0.9790262 -0.9888154 -0.9430412 4
-0.2383536 -0.3614444 0.2133923 -0.9572278 -0.9757413 -0.9423331 4
-0.1787097 -0.1615919 0.2957335 -0.9829018 -0.9784035 -0.9682837 4
-0.4228421 -0.238803 0.1424566 -0.9827966 -0.9949789 -0.9847773 4
-0.1288985 -0.2901492 0.04240849 -0.9825688 -0.981244 -0.9553187 4
-0.3469804 -0.2962846 -0.06815636 -0.9895463 -0.9910208 -0.968892 4
-0.4026391 -0.3093967 0.01783134 -0.9763022 -0.9732689 -0.9175019 4
-0.3279618 -0.02609718 0.4064711 -0.9870844 -0.9889492 -0.9722556 4
-0.4046925 -0.3970838 0.207252 -0.9868256 -0.9890768 -0.9736914 4
-0.3195002 -0.06295275 0.1877198 -0.9944439 -0.9911639 -0.9729606 4
-0.3760055 -0.3801683 -0.3026346 -0.994348 -0.9920198 -0.9845276 4
-0.04890494 -0.1287421 0.6269171 -0.9763577 -0.989911 -0.9650196 4
-0.2083428 -0.1160887 0.07450988 -0.9830819 -0.96721 -0.9622491 4
-0.2978148 -0.2408083 0.2243435 -0.9917773 -0.98142 -0.9550199 4
-0.008659219 0.08357386 0.3486182 -0.9784668 -0.9850005 -0.9477353 4
-0.3135218 -0.2438878 0.04413928 -0.9876076 -0.9854215 -0.9567564 4
-0.4707624 -0.3443994 -0.08273248 -0.9905938 -0.9872559 -0.967984 4
-0.5960074 -0.4597756 -0.2537569 -0.9918928 -0.9919701 -0.9091165 4
-0.3401855 -0.169007 0.1739538 -0.979769 -0.9930694 -0.9694454 4
-0.3484756 -0.2954395 0.1674075 -0.9885801 -0.9919516 -0.9784552 4
-0.2930035 -0.2420624 0.1257129 -0.9832728 -0.9777486 -0.9688883 4
-0.1743379 -0.08677156 0.1673836 -0.990745 -0.9960686 -0.9842196 4
-0.3463943 -0.3505045 -0.05777032 -0.9836227 -0.9775594 -0.9763625 4
-0.1912285 -0.1770081 -0.225545 -0.2011944 -0.005432774 -0.009325204 5
-0.02510691 -0.4116308 -0.2479335 -0.2681537 0.06652747 -0.1997885 5
-0.3000794 -0.2969648 -0.1636626 -0.1958261 -0.1918081 -0.1985857 5
0.1182436 0.16951 0.392434 -0.3957453 -0.3434413 -0.4240521 5
-0.09130639 -0.001134168 0.01045049 -0.3458195 -0.4566854 0.0664951 5
-0.3263025 -0.2219423 -0.2486937 -0.2451666 -0.1724047 -0.2622827 5
-0.1949853 -0.2694938 -0.6446843 -0.3538113 -0.04772728 -0.5131128 5
-0.1947117 -0.1859839 -0.3055931 -0.307079 0.05140033 -0.3622121 5
-0.04844801 -0.01574793 -0.6831317 -0.3233239 -0.1932215 -0.3931289 5
-0.05445033 -0.1761638 0.05632343 -0.166637 -0.1000905 -0.1309191 5
-0.0001838899 0.02026996 0.2425626 -0.07390636 -0.1189838 -0.03248465 5
-0.2936148 -0.2146965 -0.3509714 -0.3297174 -0.05270435 -0.4131488 5
-0.07608844 -0.1083025 -0.4456703 -0.06242337 -0.0483024 -0.4053024 5
-0.2967266 -0.4802194 -0.6930535 0.02568606 0.3320381 -0.5867384 5
-0.01325687 0.0545438 0.1302656 -0.09039763 -0.2309514 -0.07331655 5
-0.2013645 -0.4504821 -0.653582 -0.1114322 0.1438982 -0.4379567 5
-0.1209735 -0.4838154 -0.587368 0.07416155 0.277669 -0.3039904 5
-0.1335053 -0.2648643 -0.3297754 -0.1028305 -0.07815043 -0.311437 5
-0.3797709 -0.2094999 -0.2517688 -0.6316556 -0.2681238 0.04732149 5
-0.3988647 -0.2576545 -0.2258546 -0.2427369 -0.1638295 -0.244924 5
-0.1137654 -0.4220085 -0.5834113 0.0492983 0.1287214 -0.7661319 5
-2.890143e-05 -0.146704 0.0713158 -0.6137772 -0.1150213 -0.3092867 5
-0.3115357 -0.1943392 -0.5164304 -0.05519248 0.08926706 -0.50156 5
-0.1946635 -0.3543274 -0.356878 -0.3616372 0.0189486 -0.5623998 5
-0.02056744 -0.2504877 0.1751151 -0.2948469 -0.2123367 -0.4642242 5
-0.1356579 -0.1016057 0.2806172 -0.4625048 -0.1420276 0.08026646 5
-0.02405273 -0.4518519 -0.4406444 -0.3878109 -0.04668813 -0.1546398 5
0.04598186 -0.3760277 -0.2953462 -0.3035458 -0.1938076 -0.3758338 5
0.0490597 -0.09359316 0.04403864 -0.3339517 -0.0995169 -0.00206987 5
-0.1193172 -0.241154 -0.132124 -0.3282869 -0.2030362 -0.2494291 5
0.3802012 0.1616281 0.07568451 0.1182619 0.2883105 -0.02336595 6
0.3685825 0.1815398 0.1627239 0.256453 0.3846427 -0.2484588 6
0.4391071 0.3134873 0.1584759 0.307555 0.1471713 -0.3760965 6
0.1861994 -0.0935618 -0.02467882 0.1693061 0.1061198 -0.04810229 6
0.3829428 0.2922052 0.3489592 0.09649251 0.05935334 -0.0727628 6
0.3663541 0.05695262 0.1291086 0.01828106 0.2266005 -0.1295516 6
0.6020642 0.3543567 0.4369712 0.4216193 0.3582616 -0.4844474 6
0.168124 0.06077129 0.1391985 0.2241144 0.3080218 -0.4152335 6
-0.04667571 0.1020778 -0.001036735 -0.1006363 -0.002906223 0.1747872 6
-0.06118486 -0.06636783 -0.09416613 -0.06599107 -0.02501307 0.1985505 6
0.25406 -0.009327919 -0.1513131 -0.1399385 -0.005726375 -0.2998035 6
0.08859478 0.1190539 0.2114613 0.2346547 0.1764227 -0.2923801 6
0.3664661 0.4157004 0.2144567 0.2929298 0.2174549 -0.4800018 6
-0.1809014 -0.1791354 0.3852806 0.2506669 0.3969178 -0.3735622 6
0.07360584 -0.1792845 -0.01982854 0.1697842 0.1276475 -0.1431595 6
0.03586694 0.02397863 0.08540782 0.1348077 -0.06030794 -0.150354 6
0.2710333 0.3557378 0.1650396 0.2693566 0.3231787 -0.6323491 6
0.2876134 0.1177306 0.2439399 0.07442053 0.2367028 -0.1792977 6
0.1024143 0.1767418 0.2640058 0.3062456 0.260518 -0.110454 6
0.3245685 0.3204918 0.04244592 0.1141108 0.235228 -0.1849651 6
0.4239175 0.311146 0.4756561 0.06775384 0.3787102 -0.5591601 6
0.3799358 0.4131927 0.2573434 0.3506454 0.2639702 -0.3194667 6
0.4114381 0.2449747 0.2380171 0.2898625 0.5280954 -0.4061985 6
0.4286358 0.02427535 0.05655036 0.2185563 0.05651653 -0.2208037 6
0.02750816 -0.2757428 -0.3438591 0.2452077 0.3365319 -0.1987099 6
0.128035 0.1440749 0.07170193 0.376362 0.3340054 -0.1651037 6
0.3683325 0.3097891 0.4611535 0.279721 0.1924384 -0.173914 6
0.3030534 -0.02394557 0.2057948 0.1220999 0.14948 -0.4458283 6
0.4638484 -0.03006181 -0.04351127 0.3508095 0.390799 -0.0645475 6
-0.1422633 -0.3216868 -0.04498414 0.1667018 0.2698377 -0.3048095 6
0.9352232 0.8933511 0.9318744 0.8315099 0.942952 -0.2488818 7
0.9130173 0.7907174 0.8618313 0.9404773 0.8969286 -0.5097542 7
0.9365067 0.8835334 0.9390578 0.901099 0.9350308 -0.2417585 7
0.9639997 0.9462643 0.9477319 0.869303 0.9561978 -0.4206647 7
0.972625 0.9368218 0.9566494 0.8807314 0.9601887 -0.4834706 7
0.9580675 0.9136322 0.9285315 0.9336929 0.945139 -0.4767099 7
0.9325665 0.8187466 0.9306236 0.9691478 0.9587287 -0.5028143 7
0.9135863 0.8603687 0.9140235 0.8324539 0.9576699 -0.40593 7
0.9518671 0.9026478 0.9384178 0.9163245 0.9613235 -0.5802528 7
0.9630921 0.931861 0.9398074 0.7918872 0.9540088 -0.4530697 7
0.9464685 0.8926262 0.9417464 0.8719638 0.9564645 -0.134832 7
0.9668735 0.9383715 0.949862 0.926229 0.9573178 -0.3785921 7
0.9108557 0.8476343 0.9418756 0.9255765 0.9426953 -0.1568522 7
0.802974 0.6882561 0.8162964 0.9390388 0.8753196 -0.1454836 7
0.9515244 0.9185448 0.9323022 0.8903643 0.9655289 -0.1719931 7
0.9259813 0.8268743 0.9178184 0.9424574 0.9415877 -0.2067837 7
0.9281124 0.8535306 0.9288176 0.9448837 0.9046785 -0.1991331 7
0.9238652 0.8833303 0.9322775 0.9098165 0.9475732 -0.2206005 7
0.9352226 0.8294284 0.8819409 0.5813715 0.9440458 -0.6800432 7
0.8999652 0.7770957 0.9197266 0.9244545 0.9112318 -0.4724314 7
0.8625248 0.7811772 0.8726832 0.9400314 0.8812133 -0.1743492 7
0.9360964 0.8894544 0.9218206 0.8393059 0.9540643 -0.4184946 7
0.9398097 0.8434388 0.9237114 0.9365092 0.9198571 -0.391565 7
0.9597011 0.9063695 0.9508834 0.9196376 0.9664423 -0.3592925 7
0.9374831 0.9276932 0.9296275 0.8656861 0.9297947 -0.4611025 7
0.9606478 0.9420953 0.9467973 0.7829556 0.9654609 -0.6213097 7
0.9447593 0.8680003 0.9313802 0.8394647 0.9653515 -0.5304346 7
0.9429303 0.8545082 0.9292917 0.9073313 0.9485148 -0.4903345 7
0.9623744 0.929259 0.9484862 0.8915638 0.9745087 -0.3467898 7
0.9652176 0.9318298 0.9580005 0.8254738 0.9685567 -0.3447378 7
-0.282165 -0.3621534 -0.2666103 0.2044116 -0.2729838 0.7055498 8
-0.3466071 -0.4162149 -0.3257801 -0.10563 -0.3700627 0.7525366 8
-0.2619864 -0.3828512 -0.2288292 0.1273034 -0.3017351 0.8370321 8
-0.08585403 -0.2329443 -0.06208528 0.2116225 -0.07590091 0.9151651 8
-0.1004403 -0.2659426 -0.06075783 0.1684455 -0.03871013 0.9548903 8
-0.2146949 -0.3407326 -0.2140463 0.06826287 -0.230251 0.9565938 8
-0.159097 -0.2409509 -0.1298717 0.006088466 -0.117607 0.3934443 8
-0.2171022 -0.2913415 -0.1876102 0.2400951 -0.09046035 0.5899224 8
-0.03143417 -0.03779478 -0.03523046 -0.04142582 -0.01038382 -0.1191542 8
-0.0838277 -0.05656703 -0.06461608 -0.04126077 -0.04315978 -0.1392977 8
-0.2120459 -0.3435769 -0.2003219 0.2137163 -0.1730827 0.9430179 8
-0.1559834 -0.2591442 -0.1787022 0.0830509 -0.2188654 0.8033788 8
-0.2836586 -0.3574045 -0.2115551 0.1017698 -0.2399431 0.6564009 8
-0.2703148 -0.3226804 -0.2642547 -0.0364534 -0.2266922 0.4853969 8
-0.2339183 -0.314961 -0.1674623 0.2108493 -0.1647132 0.8992426 8
-0.06682465 -0.0805926 -0.05848327 -0.08658825 -0.0578867 -0.01992702 8
-0.1799274 -0.2841538 -0.1510771 -0.002814673 -0.2574868 0.6587921 8
-0.2543171 -0.3166199 -0.2258091 0.1298865 -0.2042063 0.7197554 8
-0.2233381 -0.3871007 -0.215018 0.3603435 -0.2238978 0.7256466 8
-0.3444439 -0.4798948 -0.2774197 0.07333854 -0.3059387 0.864883 8
-0.3709845 -0.4323096 -0.3566733 0.02152067 -0.3461556 0.5999927 8
-0.2596449 -0.3368269 -0.2222152 0.2085539 -0.2264188 0.6324841 8
-0.1617614 -0.2144818 -0.1100288 0.1217511 -0.1174014 0.4384341 8
-0.1151162 -0.2374984 -0.1283267 0.1822547 -0.1452013 0.7384307 8
-0.1273159 -0.2176413 -0.07242702 0.2082871 -0.1593168 0.6206589 8
-0.1339222 -0.2461697 -0.07990037 0.2231056 -0.1403154 0.803015 8
-0.187497 -0.2292787 -0.1669388 0.212947 -0.1885048 0.5678795 8
-0.2293162 -0.333224 -0.2358971 -0.1125967 -0.2476562 0.1440733 8
-0.1273181 -0.2271201 -0.0760963 0.1556595 -0.05848715 0.8075354 8
-0.1576738 -0.2266473 -0.1267104 0.1145884 -0.1002968 0.7326612 8
-0.06810286 -0.07540294 -0.06211996 0.3320437 0.01349058 0.4458177 9
0.08472709 -0.1958882 -0.04388902 0.1987268 0.1297472 0.6468349 9
-0.1381079 -0.162944 -0.1023528 0.1390206 0.02476311 0.4887032 9
0.1277641 0.08416754 0.1487148 0.1101205 0.1668938 0.3415313 9
0.002476236 -0.02320354 0.02167779 0.1430069 0.1386384 0.2636447 9
0.03318888 -0.0184609 -0.003079817 0.06952197 0.01391935 0.1758677 9
-0.1608469 -0.4035997 -0.1549355 0.06496363 -0.05165737 0.9075378 9
-0.1862678 -0.192307 -0.1418179 0.2638952 -0.0979392 0.7198315 9
-0.1158561 -0.2660099 -0.08227617 0.0852631 0.009147692 0.957873 9
0.05492762 0.02275277 0.04187154 0.2025346 0.03469802 -0.03112162 9
0.1340532 0.1466337 0.1323717 0.1885317 0.1271984 0.1126202 9
-0.03608429 -0.07025038 -0.05610506 0.08856407 -0.03953828 0.2750432 9
-0.1312997 -0.2075072 -0.09508203 0.07577739 -0.05248566 0.598885 9
-0.4224953 -0.4950887 -0.3925559 -0.09459705 -0.3381749 0.8365629 9
0.07573567 0.08118034 0.07888224 0.00281566 0.0645976 -0.03691929 9
-0.2173512 -0.3790597 -0.2253825 0.08926822 -0.1667375 0.8938845 9
-0.1902659 -0.2981715 -0.160963 -0.1358039 -0.2026878 0.7226575 9
-0.06093134 -0.1061125 -0.04936367 0.1618774 -0.04857671 0.6054953 9
-0.08984288 -0.2210088 -0.1261469 0.4891266 0.1306437 0.6876239 9
-0.03513021 -0.1301176 -0.02825916 0.1516791 0.07086553 0.4775733 9
-0.220948 -0.309735 -0.1878703 -0.05677661 -0.2076857 0.788251 9
0.02337801 -0.0957979 0.0412988 0.3155515 0.0323825 0.7719039 9
-0.1607634 -0.3559345 -0.1536715 0.06301116 -0.2236312 0.9187828 9
-0.14091 -0.2271349 -0.1401232 0.1095596 -0.05305854 0.6838399 9
0.1884163 0.108231 0.218796 0.167141 0.2011821 0.5263538 9
0.1087387 -0.001993106 0.1539063 0.3143876 0.08841427 0.6145234 9
-0.1262109 -0.2946426 -0.1400476 0.2764174 -0.005574169 0.8453924 9
-0.1259129 -0.2652079 -0.1214773 0.1354026 -0.03858305 0.015757 9
0.09557921 0.0443786 0.09196505 0.2862561 0.03161458 0.5904522 9
-0.003925564 -0.02214011 0.02880817 0.344766 0.02430444 0.6814592 9
-0.9766096 -0.956367 -0.9505598 -0.9684571 -0.993763 -0.89683 10
-0.9726932 -0.9344077 -0.9403618 -0.9799888 -0.9866858 -0.9590144 10
-0.9777716 -0.9440408 -0.9500611 -0.9573245 -0.9820204 -0.9825122 10
-0.9838265 -0.9584952 -0.9552589 -0.9814053 -0.9729084 -0.9212 10
-0.9793484 -0.95358 -0.9504909 -0.9831375 -0.9740882 -0.9456953 10
-0.9777799 -0.9593994 -0.9544063 -0.9888724 -0.9855831 -0.8877463 10
-0.9798513 -0.9328231 -0.964876 -0.9570824 -0.9879175 -0.9142213 10
-0.9747521 -0.9266733 -0.9457666 -0.966758 -0.9876902 -0.9188732 10
-0.980972 -0.9543836 -0.9521412 -0.9552804 -0.9891032 -0.9218211 10
-0.9744352 -0.9592161 -0.9392676 -0.9731284 -0.9912595 -0.9545319 10
-0.981101 -0.9534631 -0.9544975 -0.9880693 -0.9945294 -0.9795656 10
-0.9791131 -0.9602463 -0.959504 -0.9852036 -0.9853142 -0.9364583 10
-0.9725449 -0.9464415 -0.9526431 -0.9813791 -0.9922324 -0.9578752 10
-0.9748169 -0.9285236 -0.9190988 -0.9762804 -0.9720054 -0.8621369 10
-0.9783973 -0.9525624 -0.9428065 -0.9826209 -0.9884321 -0.9615097 10
-0.9824696 -0.9484136 -0.9577851 -0.9801582 -0.9853597 -0.963762 10
-0.9809834 -0.9494604 -0.9500262 -0.9901966 -0.9857514 -0.9610632 10
-0.9830109 -0.9617388 -0.9604049 -0.9940438 -0.9942701 -0.982716 10
-0.9698615 -0.916496 -0.8997261 -0.969355 -0.9924115 -0.9589596 10
-0.9703273 -0.931405 -0.9404581 -0.985829 -0.9819169 -0.9286742 10
-0.9695764 -0.9409116 -0.9401948 -0.9929364 -0.9829067 -0.9459053 10
-0.9696434 -0.9406338 -0.9412423 -0.97201 -0.9928273 -0.9287812 10
-0.9772309 -0.9333445 -0.9507908 -0.9845367 -0.9846104 -0.9479488 10
-0.9831324 -0.9621906 -0.9618453 -0.9896601 -0.9921976 -0.9604122 10
-0.9794993 -0.9508785 -0.9644701 -0.98888 -0.9931483 -0.8295549 10
-0.9800557 -0.9620114 -0.962722 -0.9650829 -0.9926788 -0.9444725 10
-0.9798661 -0.9564339 -0.9469752 -0.9824457 -0.9940122 -0.9711839 10
-0.9766939 -0.9446978 -0.9569215 -0.9891325 -0.9900594 -0.9705991 10
-0.9782535 -0.954189 -0.9417362 -0.9846792 -0.9967642 -0.9729399 10
-0.9797525 -0.9540336 -0.9588904 -0.9783647 -0.9964209 -0.9795639 10
-0.04008333 -0.3728287 -0.2974453 -0.497454 0.1378496 -0.07809749 11
-0.2412981 0.203144 0.0255011 -0.4866641 0.3346206 -0.3082454 11
0.1403688 0.3039609 -0.007657505 -0.214421 0.04178712 -0.4267174 11
-0.2810648 -0.4410648 0.02883707 -0.5541973 -0.6868767 -0.5239245 11
-0.1321349 -0.1855571 -0.06273615 -0.4998451 -0.7256748 0.04566653 11
-0.02652859 0.4385869 0.1683149 -0.116305 0.1168589 -0.2157814 11
0.1874886 0.5709466 -0.0954659 -0.4230673 0.3531351 -0.6802647 11
-0.1207995 0.3127975 0.02044424 -0.6436517 0.2721114 -0.7595155 11
0.153553 0.5109024 0.04603112 -0.3191471 0.07779275 -0.4359473 11
-0.227582 -0.2814001 -0.3518678 -0.07999209 -0.1078951 -0.3352307 11
-0.3663993 -0.3074339 -0.1120841 0.01206537 -0.4102212 -0.1221537 11
0.005264176 -0.2131599 0.03987968 -0.3673421 0.4554984 -0.4694805 11
0.1544682 0.2665615 0.2065437 -0.194047 0.1647907 -0.3773324 11
0.1227149 0.2161109 0.3159284 0.1783069 0.9023899 -0.7366706 11
-0.1589538 -0.01331938 -0.1601794 -0.1310401 -0.2234713 -0.009226948 11
0.3506117 0.3878071 0.2048776 -0.1924077 0.643905 -0.6790265 11
0.2650117 0.3832976 -0.04735575 0.30189 0.6677093 -0.482101 11
-0.04317198 0.08283385 0.2277446 -0.3519605 0.2402643 -0.4647684 11
0.0916203 0.492181 0.02876291 -0.8067463 -0.4030247 0.1780023 11
0.04181275 0.2830828 0.1514188 -0.3093901 -0.03255919 -0.2559831 11
0.1705026 0.244678 0.2304867 0.228298 0.6152097 -0.9378243 11
-0.07370977 0.4594119 -0.1909395 -0.8497284 0.2589506 -0.5017646 11
0.1537437 0.4075806 -0.07956371 -0.01113785 0.5908681 -0.6590331 11
0.06727124 0.07320693 -0.009763502 -0.4658809 0.2738889 -0.8505966 11
-0.6068996 -0.5630686 -0.4260761 -0.4267568 -0.4073843 -0.6994475 11
-0.1851447 0.1059045 -0.2029093 -0.7666352 -0.1639626 0.1157306 11
0.3076054 0.240676 0.4072603 -0.7579246 0.1691843 -0.3724174 11
0.2217452 0.1235201 0.09829832 -0.2916171 0.1011868 -0.56148 11
-0.444331 -0.2131601 -0.3541263 -0.6386224 -0.2380062 0.08006075 11
-0.3671617 -0.4930005 -0.1598039 -0.7253004 -0.08086991 -0.2642537 11
0.2812603 -0.1780037 0.1013046 0.3014193 0.4698583 -0.2091177 12
-0.06580903 -0.1691919 0.04518226 0.538687 0.6116696 -0.5632007 12
0.1197179 0.091883 0.2030336 0.4156055 0.1774171 -0.7993816 12
0.05645851 0.1429266 0.2799325 0.1222442 0.3477887 -0.155122 12
0.0719276 0.1066222 0.3984567 0.2412637 0.111722 -0.16552 12
0.01691397 0.4048082 0.3199512 0.1576696 0.3847429 -0.1854447 12
